PracticeJapanese Scores (version 0.9.8)

Kanji Scores:
土: 4
山: 5
先: 4
三: 4
四: 4
来: 4
語: 5
七: 4
日: 4
火: 4
下: 4
話: 4
学: 4
八: 4
長: 5
半: 4
気: 5
時: 5
今: 5
後: 4
天: 5
名: 4
校: 4
上: 4
前: 5
小: 5
読: 4
五: 5
川: 4
母: 4
水: 4
金: 4
休: 4
年: 5
外: 4
国: 4
友: 4
出: 4
毎: 5
車: 5
午: 4
聞: 4
月: 4
書: 5
父: 4
西: 5
高: 4
本: 4
二: 5
何: 4
人: 4
大: 4
雨: 4
男: 4
行: 4
間: 5
六: 4
千: 4
中: 4
生: 4
百: 5
円: 5
北: 4
十: 4
子: 4
見: 4
電: 4
右: 4
女: 5
一: 5
左: 5
東: 4
万: 4
南: 5
木: 4
九: 5
食: 4
入: 4
白: 5
洋: 4
心: 4
立: 4
兄: 4
病: 4
明: 4
音: 4
有: 4
題: 5
花: 4
通: 5
物: 5
用: 5
店: 4
運: 4
工: 4
切: 4
死: 4
安: 4
図: 4
走: 4
海: 4
味: 4
力: 4
問: 4
口: 4
夜: 4
画: 4
院: 4
田: 4
業: 5
別: 4
社: 4
映: 4
事: 4
主: 4
週: 5
多: 4
試: 5
肉: 4
界: 5
同: 5
医: 5
集: 4
古: 4
知: 4
買: 4
考: 4
弟: 4
言: 4
質: 4
少: 5
牛: 5
特: 4
京: 4
去: 4
料: 4
地: 4
飲: 4
思: 4
住: 4
広: 4
妹: 4
赤: 4
旅: 4
家: 5
姉: 4
駅: 5
送: 4
度: 4
重: 4
館: 4
元: 4
色: 4
代: 5
注: 4
屋: 4
計: 4
曜: 4
字: 4
待: 4
習: 4
動: 5
使: 4
理: 4
魚: 5
教: 5
空: 4
野: 4
台: 5
以: 4
終: 4
昼: 5
鳥: 4
新: 4
夏: 5
服: 4
英: 4
転: 4
品: 4
止: 4
近: 4
足: 4
研: 4
紙: 4
場: 5
開: 4
貸: 4
帰: 4
員: 4
歩: 5
私: 4
堂: 5
町: 5
体: 5
発: 4
起: 4
室: 4
朝: 4
売: 4
者: 4
借: 5
勉: 4
漢: 4
道: 4
目: 5
自: 5
持: 4
歌: 4
風: 4
早: 4
方: 4
作: 5
写: 4
真: 4
正: 5
茶: 4
手: 4
青: 5
答: 4
仕: 4
急: 4
着: 4
黒: 5
始: 4
悪: 4
犬: 4
意: 5
楽: 4
究: 4
飯: 4
春: 5
夕: 5
親: 4
会: 4
験: 4
世: 4
不: 4
公: 4
文: 5
冬: 4
秋: 4
銀: 4
族: 5
建: 4
強: 4
招: 4
要: 5
位: 4
原: 4
交: 5
財: 4
皆: 4
内: 4
昔: 4
収: 5
首: 5
勝: 4
髪: 4
積: 4
感: 4
働: 4
未: 4
逃: 4
資: 4
現: 4
当: 5
他: 4
神: 5
捕: 5
進: 5
飛: 4
息: 4
祖: 4
礼: 4
遅: 5
吸: 4
予: 4
疲: 4
迷: 5
徒: 4
忘: 4
抱: 4
値: 4
単: 4
追: 4
雪: 4
配: 4
限: 4
選: 4
雑: 4
権: 4
末: 4
乗: 4
民: 4
眠: 5
責: 4
便: 4
育: 4
困: 5
直: 4
精: 5
戦: 4
観: 4
貧: 4
因: 4
返: 5
富: 4
込: 4
宿: 4
所: 4
判: 5
科: 5
難: 4
欲: 4
断: 5
辞: 4
探: 4
識: 4
杯: 4
陽: 4
参: 4
費: 4
増: 4
晴: 4
降: 5
暮: 4
君: 4
束: 4
達: 4
関: 4
得: 4
議: 5
消: 4
能: 4
情: 5
活: 4
命: 4
解: 5
官: 4
